Area,name
Accesorios,Cable de Red
Accesorios,Cable de Teléfono
Accesorios,Cable de energia
Accesorios,Tonner
Access Point,Acceso
Access Point,Cobertura
Access Point,SSID
Account,Login
Account,Password
Account,Signup
Accounts,Profile
Active Directory,Cuenta
Active Directory,Recurso de Red
Active Directory,Red
Actividades recurrentes,Alta
Actividades recurrentes,Baja
Actividades recurrentes,Cambios
Actividades recurrentes,Configuración
Actividades relacionadas al trabajo,Actividades individuales en computadora
Actividades relacionadas al trabajo,Actividades sin computadora
Actividades relacionadas al trabajo,Categorias en computadora
Administrador,Eliminación
Administrador,Invitación
Administrador,Rol de Administrador a Gerente
Administration,Change Rol
Administration,Delete Admin/Manager
Administration,Invite Admin/Manager
Agentes,Antivirus
Agentes,Clonación
Agentes,DeskOne
Agentes,Discoverer
Agentes,Lync
Agentes,Meta4 EMIND
Agentes,PeopleNet
Agentes,Respaldo
Agentes,Trusted Link
Agentes,VPN Cisco AnyConnect
Agentes,VPN Cisco Client
Agents,Mac
Agents,Windows
Antivirus,Configuración
Antivirus,Falla
Aplicaciones,Antivirus
Aplicaciones,Banca Electronica
Aplicaciones,Befective
Aplicaciones,FireFox
Aplicaciones,Google Calendar
Aplicaciones,Google Chrome
Aplicaciones,Google Drive
Aplicaciones,Google Mail
Aplicaciones,Internet Explorer
Aplicaciones,Java
Aplicaciones,Microsoft Office
Aplicaciones,RDP
Aplicaciones,RedBooth
Aplicaciones,Reloj Checador
Aplicaciones,SalesForce
Aplicaciones,SugarCRM
Aplicaciones,itManager
Aplicaciones Servidor,Consola Antivirus
Aplicaciones Servidor,DNS
Aplicaciones Servidor,Dominio
Aplicaciones Servidor,SQL
Aplicación Oracle,Actualizaciones
Aplicación Oracle,Clonados
Aplicación Oracle,Concurrentes
Aplicación Oracle,Desarrollos
Aplicación Oracle,Menus
Aplicación Oracle,Monitoreo
Aplicación Oracle,Personalizaciones
Aplicación Oracle,Procesos
Aplicación Oracle,Rendimiento
Aplicación Oracle,Responsabilidades
Aplicación Oracle,Scripts
Aplicación Oracle,Usuarios
Applications,ACT
Applications,Agente
Applications,Antivirus
Applications,COI
Applications,GEMINIS (CHECADOR)
Applications,Loop Fabric
Applications,MS Office
Applications,NOI
Applications,SAE
Applications,WINDOWS
Applications,Web Browser
Applicatons,ADAMS
Applicatons,Antivirus
Applicatons,E-mail
Applicatons,MS Office
Applicatons,Windows
Applicatons,vmWare
Assessment,ADAMS
Assessment,Facturación Eletrónica
Assessment,JD Edwards
Assessment,MS Office
Assessment,Printing
Assessment,Windows
Assessment,eFom
Assessment,vmWare
Automated Statistics,Create
Automated Statistics,Manage
BLIS,Cuenta
BLIS,Privilegios
Base de Datos,Actualizaciones
Base de Datos,Almacenamiento
Base de Datos,Clonado
Base de Datos,Configuración
Base de Datos,Creación de Objetos
Base de Datos,DRP
Base de Datos,Datos
Base de Datos,FailOver
Base de Datos,Mantenimiento Correctivo
Base de Datos,Mantenimiento Preventivo
Base de Datos,Monitoreo
Base de Datos,Objetos
Base de Datos,Parametros
Base de Datos,Procesos
Base de Datos,Reinicio
Base de Datos,Rendimiento
Base de Datos,Scripts
Base de Datos,Usuarios
CCTV,Acceso
CCTV,Videos
CPU,Disco Duro
CPU,Formateo
CPU,Instalación
CPU,No enciende
Cable de Red,Cambio
Cable de Red,Falla
Catálogo de Servicio,Alta
Catálogo de Servicio,Asignación
Catálogo de Servicio,Asistencia
Catálogo de Servicio,Baja
Catálogo de Servicio,Cambios
Catálogo de Servicio,Esfuerzo
Catálogo de Servicio,Solución
Checklists,Clientes
Checklists,Editar Campos
Checklists,Nuevo Checklist
Checklists,Obligatorio
Checklists,Tipo
Clientes,Alta
Clientes,Baja
Clientes,Configuración
Clientes,Grupos de Equipos
Clientes,Relaciones
Clientes,Usuarios
Clientes de Correo,Domino NT
Clientes de Correo,Outlook
ColaboraTupy,ColaboraTupy LOLO
Colaboración,Lync
Colegas,Asignación de primer equipo
Colegas,Cambio de equipo
Colegas,Creación
Colegas,Eliminación
Colegas,En Espera
Colegas,Icono de Befective
Colegas,Ignorados
Colegas,Pop-up de actividades sin computadora
Colegas,Pop-up de estado de animo
Company,Goals & Rules
Company,Information
Compartir Estadísticas,Email
Compartir Estadísticas,Excel
Compartir Estadísticas,PDF
Complains,Human Service
Complains,Payment
Complains,Platform
Compresión de Datos,7zip
Compresión de Datos,TARZip
Compresión de Datos,WinRar
Compresión de Datos,Winzip
Comunicaciones,Configuración
Comunicaciones,Equipo sn registrar
Comunicaciones,Gabinete
Comunicaciones,Instalación
Comunicaciones,ParchCore
Comunicaciones,Rack
Comunicaciones,Sin conexión
Comunicaciones,Usuario no identificado
Configuración,Actividades No Productivas
Configuración,Actividades Productivas
Configuración,Asignación de Roles
Configuración,Eficiencias
Configuración,Infomes
Configuración,Preguntas Offline
Configuración de Acceso Remoto,Aplicar a los equipos
Configuración de Acceso Remoto,Seleccione Cliente
Configuración de Acceso Remoto,Seleccione una acción
Configuración de Organización,Idioma
Configuración de Organización,Logo - Busqueda de archivo
Configuración de Organización,Mensaje copyright
Configuración de Organización,Moneda
Configuración de Organización,Notificación de organización
Configuración de Organización,Organización eMail
Configuración de Organización,Usar copyright
